Course Code,Course Title,Day and Time,Instructor,Session,Cr Hrs
MATH 230H LEC 1,Probability Honours,MW 9:00AM-10:15AM,Ijaz Haider Naqvi,16W,3.0
MATH 3010 LEC 1,Advanced Calculus,TR 11:30AM-12:45PM,Shehryar Sikander,16W,3.0
MATH 310 LEC 1,Ordinary Differential Equations,MW 2:00PM-3:15PM,Sultan Sial,16W,3.0
MATH 320 LEC 1,Algebra I,TR 5:00PM-6:15PM,TBA,16W,3.0
MATH 404 LEC 1,Real Analysis,TR 4:30PM-5:45PM,Waqas Ali Azhar,16W,3.0
MATH 501 LEC 1,Mathematical Analysis,TR 4:30PM-5:45PM,Waqas Ali Azhar,16W,3.0
MATH 407 LEC 1,General Topology,TR 12:00PM-1:15PM,Haniya Azam,16W,3.0
MATH 507 LEC 1,Advanced General Topology,TR 12:00PM-1:15PM,Haniya Azam,16W,3.0
MATH 445 LEC 1,Operations Research II,MW 8:00AM-9:15AM,Kamran Rashid,16W,3.0
MATH 548 LEC 1,Operational Research II,MW 8:00AM-9:15AM,Kamran Rashid,16W,3.0
MATH 449 LEC 1,Quantitative Finance,MW 12:00PM-1:30PM,Adnan Khan,16W,4.0
MATH 449 LAB 1,Quantitative Finance,F 11:00AM-11:50AM,Adnan Khan,16W,4.0
FINN 422 LEC 1,Quantitative Finance,F 11:00AM-11:50AM,Adnan Khan,16W,4.0
MATH 524 LEC 1,Advanced Quantitative Finance,F 11:00AM-11:50AM,Adnan Khan,16W,4.0
MBA 5022 LEC 1,Financial Management,TR 8:30AM-10:35AM,Syed Mubashir Ali,16W,1.0
MBA 5022 LEC 2,Financial Management,MW 11:05AM-1:10PM,Syed Mubashir Ali,16W,1.0
MBA 5101 LEC 1,Business Ethics and Islam,MW 11:05AM-1:10PM,Muhammad Azfar Nisar,16W,0.5
MBA 5101 LEC 2,Business Ethics and Islam,TR 8:30AM-10:35AM,Muhammad Azfar Nisar,16W,0.5
MBA 5111 LEC 1,Managerial Economics,TR 2:35PM-4:40PM,"Choudhry Tanveer
Shehzad",16W,1.0
MBA 5111 LEC 2,Managerial Economics,TR 8:30AM-10:35AM,"Choudhry Tanveer
Shehzad",16W,1.0
MBA 5184 LEC 1,Business Intelligence,TR 11:05AM-1:10PM,Ussama Yaqub,16W,0.5
MBA 5184 LEC 2,Business Intelligence,MW 2:35PM-4:40PM,Ussama Yaqub,16W,0.5
MBA 5202 LEC 1,Managerial Accounting and Control,MW 2:35PM-4:40PM,"Muhammad Junaid
Ashraf",16W,0.5
MBA 5202 LEC 2,Managerial Accounting and Control,TR 11:05AM-1:10PM,"Muhammad Junaid
Ashraf",16W,0.5
MBA 5702 LEC 1,Decision Analysis,MW 11:05AM-1:10PM,"Sheikh Attique Ur
Rehman",16W,0.5
MBA 5702 LEC 2,Decision Analysis,TR 5:00PM-7:05PM,"Sheikh Attique Ur
Rehman",16W,0.5
MBA 5703 LEC 1,Operations Management Fundamentals,TR 2:35PM-4:40PM,Hassan Rauf Chaudhry,16W,0.5
MBA 5703 LEC 2,Operations Management Fundamentals,MW 2:35PM-4:40PM,Hassan Rauf Chaudhry,16W,0.5
MBA 5704 LEC 1,"Operations Management-Technology,
Innovation and Emerging Trends",MW 8:30AM-10:35AM,Hassan Rauf Chaudhry,16W,0.5
MBA 5704 LEC 2,"Operations Management-Technology,
Innovation and Emerging Trends",TR 11:05AM-1:10PM,Hassan Rauf Chaudhry,16W,0.5
MBA 5801 LEC 1,Business Strategy,TR 11:05AM-1:10PM,Salma Zaman,16W,0.5
MBA 5801 LEC 2,Business Strategy,TR 8:30AM-10:35AM,Salma Zaman,16W,0.5
MBA 5902 LEC 1,My Startup,F 8:00AM-12:00PM,"Muhammad Shehryar
Shahid",16W,0.5
MBA 5902 LEC 2,My Startup,F 12:00PM-4:00PM,"Muhammad Shehryar
Shahid",16W,0.5
MBA 6037A LEC 1,"Leading Projects: Navigating
Inception, Planning and Execution",MW 3:45PM-5:15PM,TBA,16W,0.5
MBA 6037A LEC 2,"Leading Projects: Navigating
Inception, Planning and Execution",MW 12:00PM-1:30PM,TBA,16W,0.5
MBA 6038 LEC 1,Operations Strategy,TR 12:00PM-1:30PM,Ahsan Umar,16W,0.5
MBA 6054A LEC 1,Organizational Power and Politics,TR 10:15AM-11:45AM,Mohsin Bashir,16W,0.5
MBA 6165 LEC 1,Business Development and Economy,MW 8:30AM-10:00AM,Ummad Mazhar,16W,0.5
MBA 6304 LEC 1,Corporate Strategy,TR 3:45PM-5:15PM,Anjum Fayyaz,16W,0.5
MBA 6510 LEC 1,The Business of Entertainment,TR 8:30AM-10:00AM,Ehsan Ul Haque,16W,0.5
MECO 121 LEC 1,Principles of Macroeconomics,TR 2:00PM-3:15PM,Sameen Zafar,16W,3.0
MECO 121 LEC 2,Principles of Macroeconomics,TR 8:00AM-9:15AM,Ummad Mazhar,16W,3.0
MECO 121 LEC 3,Principles of Macroeconomics,TR 9:30AM-10:45AM,Ummad Mazhar,16W,3.0
MECO 121 LEC 4,Principles of Macroeconomics,TR 11:00AM-12:15PM,Ummad Mazhar,16W,3.0
MECO 121 LEC 5,Principles of Macroeconomics,MW 8:00AM-9:15AM,Abid Raza Khan,16W,3.0
MECO 121 LEC 6,Principles of Macroeconomics,TR 8:00AM-9:15AM,Abid Raza Khan,16W,3.0
MECO 121 LEC 7,Principles of Macroeconomics,MW 11:00AM-12:15PM,Syed Zahid Ali,16W,3.0
MECO 121 LEC 8,Principles of Macroeconomics,MW 12:30PM-1:45PM,Syed Zahid Ali,16W,3.0
